Date_Stamp,Time_Stamp,Server_Alpha_Status,Server_Numerical_Status
2019-12-13,1:10:31,server down,0
2019-12-13,1:10:31,server down,0
2019-12-13,1:10:31,server down,0
2019-12-13,1:10:31,server down,0
2019-12-13,1:10:31,server down,0
2019-12-13,1:10:31,server down,0
2019-12-13,1:10:31,server down,0
2019-12-13,1:10:31,server down,0
2019-12-13,1:10:31,server down,0
2019-12-13,1:10:31,server down,0
2019-12-13,1:10:31,server down,0
2019-12-13,1:10:31,server down,0
2019-12-13,1:10:31,server down,0
2019-12-13,1:10:31,server down,0
2019-12-13,1:10:31,server down,0
2019-12-13,1:10:31,server down,0
2019-12-13,1:10:31,server down,0
2019-12-13,1:10:31,server down,0
2019-12-13,1:10:31,server down,0
2019-12-13,1:10:31,server down,0
2019-12-13,1:10:31,server down,0
2019-12-13,1:10:31,server down,0
2019-12-13,1:10:31,server down,0
2019-12-13,1:10:31,server down,0
2019-12-13,1:10:31,server down,0
2019-12-13,1:10:31,server down,0
2019-12-13,1:10:32,server up,1
2019-12-13,1:10:32,server up,1
2019-12-13,1:10:33,server up,1
2019-12-13,1:10:33,server up,1
2019-12-13,1:10:34,server up,1
2019-12-13,1:10:34,server up,1
2019-12-13,1:10:35,server up,1
2019-12-13,1:10:35,server up,1
2019-12-13,1:10:36,server up,1
2019-12-13,1:10:36,server up,1
2019-12-13,1:10:37,server up,1
2019-12-13,1:10:37,server up,1
2019-12-13,1:10:38,server up,1
2019-12-13,1:10:38,server up,1
2019-12-13,1:10:39,server up,1
2019-12-13,13:01:55,server up,1
2019-12-13,13:06:32,server up,1
2019-12-13,13:06:32,server up,1
2019-12-13,13:06:33,server up,1
2019-12-13,13:06:33,server up,1
2019-12-13,13:06:33,server up,1
2019-12-13,13:06:34,server up,1
2019-12-13,13:06:34,server up,1
2019-12-13,13:06:35,server up,1
2019-12-13,13:06:35,server up,1
2019-12-13,13:06:36,server up,1
2019-12-13,13:06:36,server up,1
2019-12-13,13:06:36,server up,1
2019-12-13,13:06:37,server up,1
2019-12-13,13:06:38,server up,1
2019-12-13,13:06:38,server up,1
2019-12-13,13:06:38,server up,1
2019-12-13,13:06:39,server up,1
2019-12-13,13:06:39,server up,1
2019-12-13,13:06:40,server up,1
2019-12-13,13:06:40,server up,1
2019-12-13,13:06:41,server up,1
2019-12-13,13:06:41,server up,1
2019-12-13,13:06:41,server up,1
2019-12-13,13:06:42,server up,1
2019-12-13,13:06:42,server up,1
2019-12-13,13:06:43,server up,1
2019-12-13,13:06:43,server up,1
2019-12-13,13:06:44,server up,1
2019-12-13,13:06:44,server up,1
2019-12-13,13:06:44,server up,1
2019-12-13,13:06:45,server up,1
2019-12-13,13:06:45,server up,1
2019-12-13,13:06:46,server up,1
2019-12-13,13:06:46,server up,1
2019-12-13,13:06:46,server up,1
2019-12-13,13:06:47,server up,1
2019-12-13,13:06:47,server up,1
2019-12-13,13:06:48,server up,1
2019-12-13,13:06:48,server up,1
2019-12-13,13:06:49,server up,1
2019-12-13,13:06:49,server up,1
2019-12-13,13:06:49,server down,0
2019-12-13,13:06:49,server down,0
2019-12-13,13:06:49,server down,0
2019-12-13,13:06:49,server down,0
2019-12-13,13:06:49,server down,0
2019-12-13,13:06:49,server down,0
2019-12-13,13:06:49,server down,0
2019-12-13,13:06:49,server down,0
2019-12-13,13:06:49,server down,0
2019-12-13,13:06:49,server down,0
2019-12-13,13:06:49,server down,0
2019-12-13,13:06:49,server down,0
2019-12-13,13:06:49,server down,0
2019-12-13,13:06:49,server down,0
2019-12-13,13:06:49,server down,0
2019-12-13,13:06:49,server down,0
2019-12-13,13:06:49,server down,0
2019-12-13,13:06:50,server down,0
2019-12-13,13:06:50,server down,0
2019-12-13,13:06:50,server down,0
2019-12-13,13:06:50,server down,0
2019-12-13,13:06:50,server down,0
2019-12-13,13:06:50,server down,0
2019-12-13,13:06:50,server down,0
2019-12-13,13:06:50,server down,0
2019-12-13,13:06:50,server down,0
2019-12-13,13:06:50,server down,0
2019-12-13,13:06:50,server down,0
2019-12-13,13:06:50,server down,0
2019-12-13,13:06:50,server down,0
2019-12-13,13:06:50,server down,0
2019-12-13,13:06:50,server down,0
2019-12-13,13:06:50,server down,0
2019-12-13,13:06:50,server down,0
2019-12-13,13:06:50,server down,0
2019-12-13,13:06:50,server down,0
2019-12-13,13:06:50,server down,0
2019-12-13,13:06:50,server down,0
2019-12-13,13:06:50,server down,0
2019-12-13,13:06:50,server down,0
2019-12-13,13:06:50,server down,0
2019-12-13,13:06:50,server down,0
2019-12-13,13:06:50,server down,0
2019-12-13,13:06:50,server down,0
2019-12-13,13:06:50,server down,0
2019-12-13,13:06:50,server down,0
2019-12-13,13:06:50,server down,0
2019-12-13,13:06:50,server down,0
2019-12-13,13:06:50,server down,0
2019-12-13,13:06:50,server down,0
2019-12-13,13:06:50,server down,0
2019-12-13,13:06:50,server down,0
2019-12-13,13:06:50,server down,0
2019-12-13,13:06:50,server down,0
2019-12-13,13:06:50,server down,0
2019-12-13,13:06:50,server down,0
2019-12-13,13:06:51,server down,0
2019-12-13,13:06:51,server down,0
2019-12-13,13:06:51,server down,0
2019-12-13,13:06:51,server down,0
2019-12-13,13:06:51,server down,0
2019-12-13,13:06:51,server down,0
2019-12-13,13:06:51,server down,0
2019-12-13,13:06:51,server down,0
2019-12-13,13:06:51,server down,0
2019-12-13,13:06:51,server down,0
2019-12-13,13:06:51,server down,0
2019-12-13,13:06:51,server down,0
2019-12-13,13:06:51,server down,0
2019-12-13,13:06:51,server down,0
2019-12-13,13:06:51,server down,0
2019-12-13,13:06:51,server down,0
2019-12-13,13:06:51,server down,0
2019-12-13,13:06:51,server down,0
2019-12-13,13:06:51,server down,0
2019-12-13,13:06:51,server down,0
2019-12-13,13:06:51,server down,0
2019-12-13,13:06:51,server down,0
2019-12-13,13:06:51,server down,0
2019-12-13,13:06:51,server down,0
2019-12-13,13:06:51,server down,0
2019-12-13,13:06:51,server down,0
2019-12-13,13:06:51,server down,0
2019-12-13,13:06:51,server down,0
2019-12-13,13:06:51,server down,0
2019-12-13,13:06:51,server down,0
2019-12-13,13:06:51,server down,0
2019-12-13,13:06:51,server down,0
2019-12-13,13:06:51,server down,0
2019-12-13,13:06:51,server down,0
2019-12-13,13:06:51,server down,0
2019-12-13,13:06:51,server down,0
2019-12-13,13:06:51,server down,0
2019-12-13,13:06:51,server down,0
2019-12-13,13:06:51,server down,0
2019-12-13,13:06:52,server down,0
2019-12-13,13:06:52,server down,0
2019-12-13,13:06:52,server down,0
2019-12-13,13:06:52,server down,0
2019-12-13,13:06:52,server down,0
2019-12-13,13:06:52,server down,0
2019-12-13,13:06:52,server down,0
2019-12-13,13:06:52,server down,0
2019-12-13,13:06:52,server down,0
2019-12-13,13:06:52,server down,0
2019-12-13,13:06:52,server down,0
2019-12-13,13:06:52,server down,0
2019-12-13,13:06:52,server down,0
2019-12-13,13:06:52,server down,0
2019-12-13,13:06:52,server down,0
2019-12-13,13:06:52,server down,0
2019-12-13,13:06:52,server down,0
2019-12-13,13:06:52,server down,0
2019-12-13,13:06:52,server down,0
2019-12-13,13:06:52,server down,0
2019-12-13,13:06:52,server down,0
2019-12-13,13:06:52,server down,0
2019-12-13,13:06:52,server down,0
2019-12-13,13:06:52,server down,0
2019-12-13,13:06:52,server down,0
2019-12-13,13:06:52,server down,0
2019-12-13,13:06:52,server down,0
2019-12-13,13:06:52,server down,0
2019-12-13,13:06:52,server down,0
2019-12-13,13:06:52,server down,0
2019-12-13,13:06:52,server down,0
2019-12-13,13:06:52,server down,0
2019-12-13,13:06:52,server down,0
2019-12-13,13:06:52,server down,0
